despfix_id,produto,valor,data,fatura,pagamento,notas,fornecedor
1,Aluguel,1200.00,2024-03-01 00:00:00,2001,Transferência Bancária,Alojamento do edificio,Senhorio
2,Internet,150.00,2024-03-01 00:00:00,2002,Cartão de Crédito,Pacote Fibra Business,Altice
3,Água,80.50,2024-03-01 00:00:00,2003,Boleto Bancário,Consumo Mensal de Água,EPAL
4,Energia Elétrica,320.75,2024-03-01 00:00:00,2004,Transferência Bancária,Consumo Mensal de Energia Elétrica,EDP
5,Telefone,90.00,2024-03-01 00:00:00,2005,Cartão de Débito,Números de télemovel da empresa,Altice
6,Manutenção Predial,500.00,2024-03-01 00:00:00,2006,Dinheiro,Manutenção do estado do edificio,LMGE
7,Segurança,750.00,2024-03-01 00:00:00,2007,Boleto Bancário,Segurança do edificio,Prosegur
8,Serviço de Limpeza,600.00,2024-03-01 00:00:00,2008,Transferência Bancária,Serviço de Limpeza do edificio,PrimeClean Lda
9,Material de Escritório,200.00,2024-03-01 00:00:00,2009,Cartão de Crédito,Material comprado para funcionários,note!
10,Seguro do Prédio,1100.00,2024-03-01 00:00:00,2010,Cartão de Débito,Seguro associado ao edificio,Seguro
11,Assinatura de Software,250.00,2024-03-01 00:00:00,2011,Boleto Bancário,Mensalidade de Softwares,Software
12,Serviço de Jardinagem,300.00,2024-03-01 00:00:00,2012,Transferência Bancária,Mensalidade do Serviço de Jardinagem,Jardins e Relvas Lda
13,Assinatura de Jornal,50.00,2024-03-01 00:00:00,2013,Cartão de Crédito,Mensalidade do Jornal,Jornal
14,Compra de Café e Água,100.00,2024-03-01 00:00:00,2014,Dinheiro,Mensalidade de café e garrafas de aguas fornecidas ao funcionário,Continente
15,Transporte Funcionários,850.00,2024-03-01 00:00:00,2015,Boleto Bancário,Mensalidade relacionada ao transporte dos funcionários,ADECO
16,Serviço de TI,400.00,2024-03-01 00:00:00,2016,Transferência Bancária,manutenção por contratos,Indefinido
17,Licenciamento Anual,900.00,2024-03-01 00:00:00,2017,Cartão de Débito,Lincenciatura de algo,Governo
18,Assistência Médica,1200.00,2024-03-01 00:00:00,2018,Cartão de Crédito,Seguro de Saúde,medicare
19,Salário Funcionários,15000.00,2024-03-01 00:00:00,2019,Transferência Bancária,Salários distribuidos por tipo de funcionário,ADECO
20,Despesa Contábil,650.00,2024-03-01 00:00:00,2020,Boleto Bancário,,
