despvar_id,produto,valor,data,fatura,pagamento,notas,fornecedor
1,Material Escolar,45.75,2026-01-01 10:15:00,12345,Cartão de Crédito,,
2,Alimentação,120.00,2026-01-02 12:30:00,12346,Transferência Bancária,,
3,Brinquedos,75.50,2026-01-03 14:45:00,12347,Dinheiro,,
4,Livros Didáticos,90.20,2026-01-04 09:00:00,12348,Débito Direto,,
5,Serviço de Manutenção,200.00,2026-01-05 16:20:00,12349,Cheque,,
6,Transporte Escolar,55.30,2026-01-06 08:45:00,12350,Cartão de Crédito,,
7,Fardamento,110.75,2026-01-07 13:10:00,12351,Transferência Bancária,,
8,Excursão Escolar,85.40,2026-01-08 11:00:00,12352,Dinheiro,,
9,Software Educativo,99.90,2026-01-09 15:30:00,12353,Débito Direto,,
10,Equipamentos de Informática,250.00,2026-01-10 10:50:00,12354,Cheque,,
11,Atividades Extracurriculares,60.00,2026-01-11 17:25:00,12355,Cartão de Crédito,,
12,Consultoria Pedagógica,180.50,2026-01-12 09:40:00,12356,Transferência Bancária,,
13,Serviços de Limpeza,130.25,2026-01-13 14:55:00,12357,Dinheiro,,
14,Reparação de Móveis,175.80,2026-01-14 12:05:00,12358,Débito Direto,,
15,Curso de Formação,210.00,2026-01-15 16:45:00,12359,Cheque,,
16,Assinatura de Plataforma Online,49.99,2026-01-16 08:20:00,12360,Cartão de Crédito,,
17,Material de Escritório,85.60,2026-01-17 11:15:00,12361,Transferência Bancária,,
18,Taxas Administrativas,92.30,2026-01-18 13:35:00,12362,Dinheiro,,
19,Eventos e Festas,145.50,2026-01-19 15:10:00,12363,Débito Direto,,
20,Aluguel de Equipamentos,275.00,2026-01-20 10:00:00,12364,Cheque,,
